GPU_ID,Power_Usage_W,Timestamp
0,379.333,1742519849.6418383
1,365.004,1742519849.6418383
2,370.186,1742519849.6418383
3,385.447,1742519849.6418383
4,368.778,1742519849.6418383
5,385.374,1742519849.6418383
6,374.284,1742519849.6418383
7,384.365,1742519849.6418383
0,379.333,1742519849.6919713
1,365.884,1742519849.6919713
2,370.186,1742519849.6919713
3,385.447,1742519849.6919713
4,369.183,1742519849.6919713
5,385.374,1742519849.6919713
6,374.284,1742519849.6919713
7,384.365,1742519849.6919713
0,376.855,1742519849.742105
1,365.884,1742519849.742105
2,368.673,1742519849.742105
3,383.796,1742519849.742105
4,369.183,1742519849.742105
5,385.072,1742519849.742105
6,375.31,1742519849.742105
7,382.713,1742519849.742105
0,376.855,1742519849.792241
1,362.915,1742519849.792241
2,368.673,1742519849.792241
3,383.796,1742519849.792241
4,370.054,1742519849.792241
5,385.072,1742519849.792241
6,375.31,1742519849.792241
7,382.713,1742519849.792241
0,375.785,1742519849.8424022
1,362.915,1742519849.8424022
2,369.08,1742519849.8424022
3,381.318,1742519849.8424022
4,370.054,1742519849.8424022
5,383.26,1742519849.8424022
6,374.394,1742519849.8424022
7,381.672,1742519849.8424022
0,375.785,1742519849.8925176
1,362.548,1742519849.8925176
2,369.08,1742519849.8925176
3,381.318,1742519849.8925176
4,371.878,1742519849.8925176
5,383.26,1742519849.8925176
6,374.394,1742519849.8925176
7,381.672,1742519849.8925176
0,374.707,1742519849.9426463
1,362.548,1742519849.9426463
2,367.717,1742519849.9426463
3,378.439,1742519849.9426463
4,371.878,1742519849.9426463
5,378.868,1742519849.9426463
6,374.97,1742519849.9426463
7,380.074,1742519849.9426463
0,374.707,1742519849.9927845
1,362.082,1742519849.9927845
2,367.717,1742519849.9927845
3,378.439,1742519849.9927845
4,372.984,1742519849.9927845
5,378.868,1742519849.9927845
6,374.97,1742519849.9927845
7,380.074,1742519849.9927845
0,375.596,1742519850.0429199
1,362.082,1742519850.0429199
2,368.674,1742519850.0429199
3,377.505,1742519850.0429199
4,372.984,1742519850.0429199
5,378.268,1742519850.0429199
6,375.267,1742519850.0429199
7,378.723,1742519850.0429199
0,375.596,1742519850.093058
1,362.814,1742519850.093058
2,368.674,1742519850.093058
3,377.505,1742519850.093058
4,373.694,1742519850.093058
5,378.268,1742519850.093058
6,375.267,1742519850.093058
7,378.723,1742519850.093058
0,375.474,1742519850.143195
1,362.814,1742519850.143195
2,369.524,1742519850.143195
3,377.033,1742519850.143195
4,373.694,1742519850.143195
5,377.08,1742519850.143195
6,374.633,1742519850.143195
7,379.235,1742519850.143195
0,375.474,1742519850.1933293
1,364.805,1742519850.1933293
2,369.524,1742519850.1933293
3,377.033,1742519850.1933293
4,374.019,1742519850.1933293
5,377.08,1742519850.1933293
6,374.633,1742519850.1933293
7,379.235,1742519850.1933293
0,375.476,1742519850.243464
1,364.805,1742519850.243464
2,370.381,1742519850.243464
3,376.283,1742519850.243464
4,374.019,1742519850.243464
5,376.153,1742519850.243464
6,374.995,1742519850.243464
7,377.057,1742519850.243464
0,375.476,1742519850.2935944
1,364.42,1742519850.2935944
2,370.381,1742519850.2935944
3,376.283,1742519850.2935944
4,371.27,1742519850.2935944
5,376.153,1742519850.2935944
6,374.995,1742519850.2935944
7,377.057,1742519850.2935944
0,376.815,1742519850.3437295
1,364.42,1742519850.3437295
2,372.218,1742519850.3437295
3,376.293,1742519850.3437295
4,371.27,1742519850.3437295
5,375.177,1742519850.3437295
6,373.156,1742519850.3437295
7,378.744,1742519850.3437295
0,376.815,1742519850.3938642
1,365.664,1742519850.3938642
2,372.218,1742519850.3938642
3,376.293,1742519850.3938642
4,371.085,1742519850.3938642
5,375.177,1742519850.3938642
6,373.156,1742519850.3938642
7,378.744,1742519850.3938642
0,377.482,1742519850.4439979
1,365.664,1742519850.4439979
2,372.218,1742519850.4439979
3,373.642,1742519850.4439979
4,371.085,1742519850.4439979
5,376.349,1742519850.4439979
6,373.006,1742519850.4439979
7,378.744,1742519850.4439979
0,377.482,1742519850.4941237
1,365.134,1742519850.4941237
2,373.039,1742519850.4941237
3,373.642,1742519850.4941237
4,371.629,1742519850.4941237
5,376.349,1742519850.4941237
6,373.006,1742519850.4941237
7,377.22,1742519850.4941237
0,377.09,1742519850.5442567
1,365.134,1742519850.5442567
2,373.563,1742519850.5442567
3,373.64,1742519850.5442567
4,371.629,1742519850.5442567
